aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,dois,ecs,repacxns,annotation
485317,1,HTS-Luminescent assay for inhibitors of ALR by detection of hydrogen peroxide production Measured in Biochemical System Using Plate Reader - 2036-02_Inhibitor_SinglePoint_HTS,"Keywords: Mitochondria, biogenesis, protein import, intermembrane space, FAD, sulfhydryl oxidase, ALR, Erv1_|__|_Assay Overview:_|_Screen for inhibitors of purified, recombinant ALR to oxidize the generic substrate DTT.  Oxidation of DTT by ALR produces hydrogen peroxide, which was detected using horseradish peroxidase (HRP) and luminol.  A solution of ALR and HRP was added to plates containing compounds, followed by the addition of DTT.  The plates were incubated for 2 hours prior to the addition of the lu",31,Broad Institute,2036-02_Inhibitor_SinglePoint_HTS,20101018,"6,19,72,86,109,119,127,190,191,204,229,253,289,298,299,303,311,323,338,366,403,412,441,444,460,487,499,525,546,547,588,597,637,698,701,727,802,803,864,892,896,899,903,931,932,938,942,957,978,992,1001,1017,1018,1030,1047,1057,1066,1088,1123,1150,1174,1176,1201,1233,1245,1292,1302,1330,1340,1359,1365,1367,1369,1401,1474,1483,1491,1492,1493,1539,1546,1570,1609,1639,1646,1662,1676,1678,1727,1730,1738,1742,1761,1775,1794,1795,1826,1833,1853,1858,1864,1868,1882,1889,1890,1892,1893,1917,1923,1983,1985,1986,1989,19","842121,842122,842123,842124,842125,842127,842128,842129,842130,842131,842132,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842150,842151,842152,842153,842154,842155,842156,842157,842162,842163,842164,842166,842167,842168,842169,842170,842171,842172,842174,842178,842179,842180,842181,842182,842183,842184,842186,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842203,842205,842207,842208,842209,842210,842211,842213,8",2671,Biochemical,NP_005253,NIH Initiatives,NULL,0,NULL,1.8.3.2,P55789,NULL
485347,1,HTS Assay for Positive Allosteric Modulators of the Human D2 Dopamine Receptor: Primary Screen for Potentiators,"NIH Chemical Genomics Center [NCGC]_|_NIH Molecular Libraries Probe Centers Network [MLPCN]_|__|_MLPCN Grant: NS064831-01_|_Assay Submitter (PI): David Sibley_|__|_Dopamine receptors (DARs) are involved in the etiology and/or therapy of a number of neuropsychiatric and endocrine disorders. For instance, all receptor-based antiparkinsonian drugs work via stimulating the D2 DAR subtype whereas all FDA-approved antipsychotic agents are antagonists of this receptor. Most drugs targeting the D2 DAR are problemat",2,National Center for Advancing Translational Sciences (NCATS),DOP2201,20101005,"6,72,119,137,191,204,229,253,289,298,299,303,323,338,366,441,460,464,487,499,525,546,547,564,588,597,637,698,701,727,774,803,892,899,931,932,936,938,957,1017,1018,1030,1046,1047,1066,1088,1101,1150,1174,1201,1233,1245,1292,1302,1309,1318,1329,1330,1345,1359,1367,1400,1401,1474,1483,1491,1492,1539,1546,1570,1609,1646,1676,1688,1727,1730,1738,1742,1761,1775,1780,1794,1814,1820,1832,1833,1853,1858,1868,1882,1890,1892,1893,1922,1923,1967,1981,1983,1985,1988,1989,2000,2002,2007,2015,2018,2020,2048,2052,2082,2092","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842192,842193,842195,842196,842197,842198,8",1813,NULL,NP_000786,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,P14416,NULL
485344,1,HTS Assay for Allosteric Antagonists of the Human D2 Dopamine Receptor: Primary Screen for Antagonists,"NIH Chemical Genomics Center [NCGC]_|_NIH Molecular Libraries Probe Centers Network [MLPCN]_|__|_MLPCN Grant: NS064831-01_|_Assay Submitter (PI): David Sibley_|__|_Dopamine receptors (DARs) are involved in the etiology and/or therapy of a number of neuropsychiatric and endocrine disorders. For instance, all receptor-based antiparkinsonian drugs work via stimulating the D2 DAR subtype whereas all FDA-approved antipsychotic agents are antagonists of this receptor. Most drugs targeting the D2 DAR are problemat",2,National Center for Advancing Translational Sciences (NCATS),DOP2301,20101004,"6,72,119,137,191,204,229,253,298,299,303,323,338,366,441,460,464,487,499,525,546,547,564,588,597,637,698,701,727,774,803,892,899,931,932,936,938,957,1017,1018,1030,1046,1047,1066,1088,1101,1150,1174,1201,1233,1245,1292,1302,1309,1318,1329,1330,1345,1359,1367,1400,1401,1474,1483,1491,1492,1539,1546,1570,1609,1646,1676,1688,1727,1730,1738,1742,1761,1775,1780,1794,1814,1820,1832,1833,1853,1858,1868,1882,1890,1892,1893,1922,1923,1967,1981,1983,1985,1988,1989,2000,2002,2007,2015,2018,2020,2048,2052,2082,2092,210","842121,842122,842123,842124,842125,842126,842127,842128,842129,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842192,842193,842197,842198,842199,842200,842202,842203,8",1813,NULL,NP_000786,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,P14416,NULL
485275,1,Phenotypic HTS multiplex for antifungal efflux pump inhibitors,"UNM CMD Assay Overview:_|_Assay Support:  1 R03 MH087406-01A1    _|_Project Title:  Identification of broad-spectrum antifungal efflux pump inhibitors  _|_PI:  Richard Cannon_|_Screening Center PI:  Larry Sklar_|_Chemistry Center PI:  Craig Lindsley _|__|_Assay Implementation:  J Jacob Strouse, Susan Young, Stephanie Chavez, Dominique Perez, Matthew Garcia, Travis Houston, Keon Ahghar, Terry Foutz, Anna Waller, Annette Evangelisti, Mark Carter, Virginia Salas_|__|_Assay Background and Significance:_|__|_Fun",6,NMMLSC,UNM_CMD_phenotypic_multiplex_HTS_for_antifungal efflux_pump_inhibitors,20120309,"6,19,72,86,109,119,127,137,174,190,191,204,229,243,253,289,298,299,303,311,323,335,338,366,379,403,412,441,444,460,464,487,499,525,546,547,564,588,597,637,660,698,701,727,774,785,802,803,864,892,896,899,903,904,931,932,936,938,942,957,978,992,995,1001,1017,1018,1030,1046,1047,1057,1066,1088,1101,1123,1150,1174,1176,1201,1233,1245,1292,1302,1309,1318,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1483,1486,1491,1492,1493,1539,1546,1570,1609,1639,1646,1662,1676,1678,1688,1727,1730,1738,1742,1761,1775,","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,8",NULL,NULL,NULL,NIH Initiatives,"15486081,1718242,19366916,20717788,3378546",0,10.1007/978-1-60761-820-1_15|10.1093/jac/dkh456|10.1128/cmr.00051-08,NULL,NULL,NULL
485358,1,HTS Assay for Allosteric Agonists of the Human D2 Dopamine Receptor: Primary Screen for Agonists,"NIH Chemical Genomics Center [NCGC]_|_NIH Molecular Libraries Probe Centers Network [MLPCN]_|__|_MLPCN Grant: NS064831-01_|_Assay Submitter (PI): David Sibley_|__|_Dopamine receptors (DARs) are involved in the etiology and/or therapy of a number of neuropsychiatric and endocrine disorders. For instance, all receptor-based antiparkinsonian drugs work via stimulating the D2 DAR subtype whereas all FDA-approved antipsychotic agents are antagonists of this receptor. Most drugs targeting the D2 DAR are problemat",2,National Center for Advancing Translational Sciences (NCATS),DOP2101,20101005,"6,72,119,137,191,204,229,253,298,299,303,323,338,366,441,460,464,487,499,525,546,547,564,588,597,637,698,701,727,774,803,892,899,931,932,936,938,957,1017,1018,1030,1046,1047,1066,1088,1101,1150,1174,1201,1233,1245,1292,1302,1309,1318,1329,1330,1345,1359,1367,1400,1401,1474,1483,1491,1492,1539,1546,1570,1609,1646,1676,1688,1727,1730,1738,1742,1761,1775,1780,1794,1814,1820,1832,1833,1853,1858,1868,1882,1890,1892,1893,1922,1923,1967,1981,1983,1985,1988,1989,2000,2002,2007,2015,2018,2020,2048,2052,2082,2092,210","842121,842122,842123,842124,842125,842126,842127,842128,842129,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842192,842193,842195,842197,842198,842199,842200,8",1813,NULL,NP_000786,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,P14416,NULL
485270,1,FRET-based cell-based primary high throughput screening assay to identify antagonists of the orexin 1 receptor (OX1R; HCRTR1),"Source (MLPCN Center Name): The Scripps Research Institute Molecular Screening Center (SRIMSC)_|_Affiliation: The Scripps Research Institute, TSRI_|_Assay Provider: Patricia McDonald, TSRI_|_Network: Molecular Library Probe Production Centers Network (MLPCN)_|_Grant Proposal Number: R01 DA023915-02_|_Grant Proposal PI: Patricia McDonald_|_External Assay ID: OX1R_ANT_FRET_1536_1X%INH PRUN IP-ONE_|__|_Name: FRET-based cell-based primary high throughput screening assay to identify antagonists of the orexin 1 r",5,The Scripps Research Institute Molecular Screening Center,OX1R_ANT_FRET_1536_1X%INH PRUN IP-ONE,20100924,"6,19,72,86,109,119,127,137,174,190,191,204,229,243,253,289,298,299,303,311,323,335,338,366,379,403,412,441,444,460,464,487,499,525,546,547,564,588,597,637,660,698,701,727,774,785,802,803,864,892,896,899,903,904,931,932,936,938,942,957,978,992,995,1001,1017,1018,1030,1046,1047,1057,1066,1088,1101,1123,1150,1174,1176,1201,1233,1245,1292,1302,1309,1318,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1483,1486,1491,1492,1493,1539,1546,1570,1609,1639,1646,1662,1676,1678,1688,1727,1730,1738,1742,1761,1775,","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,8",3061,Cell-based,NP_001516,NIH Initiatives,"10485925,10860858,11394998,15217328,17629964,17959251,18370232,18382464,18423425,19207823,19363060,19596018,19656173,9419374,9491897",0,10.1006/bbrc.2000.2880|10.1007/978-1-59745-205-2_6|10.1016/j.biopsych.2008.03.006|10.1016/j.neuropharm.2009.07.008|10.1016/j.pharmthera.2007.09.003|10.1016/j.tips.2007.06.001|10.1016/s0092-8674(00)80949-6|10.1016/s0896-6273(01)00293-8|10.1038/nrd2518|10.1073/pnas.95.1.322|10.1073/pnas.96.19.10911|10.1111/j.1365-2826.2009.01824.x|10.1111/j.1460-9568.2009.06844.x|10.1124/jpet.109.152009|10.1146/annurev.neuro.27.070203.144206,NULL,O43613,NULL
485272,1,Fluorescence polarization-based primary biochemical high throughput screening assay to identify inhibitors of Protein Arginine Deiminase 4 (PAD4) (1536 HTS),"Source (MLPCN Center Name): The Scripps Research Institute Molecular Screening Center (SRIMSC)_|_Affiliation: The Scripps Research Institute, TSRI_|_Assay Provider: Paul Thompson, University of South Carolina_|_Network: Molecular Library Probe Production Centers Network (MLPCN)_|_Grant Proposal Number: R01 GM079357-01_|_Grant Proposal PI: Paul Thompson_|_External Assay ID: PAD4_INH_FP_1536_1X%INH PRUN_|__|_Name: Fluorescence polarization-based primary biochemical high throughput screening assay to identify ",5,The Scripps Research Institute Molecular Screening Center,PAD4_INH_FP_1536_1X%INH PRUN,20100924,"6,19,72,86,109,119,127,137,174,190,191,204,229,243,253,289,298,299,303,311,323,335,338,366,379,403,412,441,444,460,464,487,499,525,546,547,564,588,597,637,660,698,701,727,774,785,802,803,864,892,896,899,903,904,931,932,936,938,942,957,978,992,995,1001,1017,1018,1030,1046,1047,1057,1066,1088,1101,1123,1150,1174,1176,1201,1233,1245,1292,1302,1309,1318,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1483,1486,1491,1492,1493,1539,1546,1570,1609,1639,1646,1662,1676,1678,1688,1727,1730,1738,1742,1761,1775,","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,8",23569,Biochemical,NP_036519,NIH Initiatives,"12776222,14579251,15020330,15899032",0,10.1002/bies.10357|10.1038/nrd1109|10.1136/ard.2003.012211|10.1186/ar1697,3.5.3.15,Q9UM07,NULL
485350,1,A screen for compounds that inhibit the bacterial siderophore biosynthetic enzyme BasE,"Aryl acid adenylating enzymes (AAAEs) are involved in siderophore biosynthesis in Mycobacterium tuberculosis, Yersinia pestis, Escherichia coli, Vibrio cholerae, Bacillus subtilis, and Acinetobacter baumannii.  The design and synthesis of a fluorescent probe Fl-Sal-AMS 6 based on the tight-binding inhibitor 5'-O-[N-(salicyl)sulfamoyl]adenosine (Sal-AMS) enabled the performance of a 384-well format high-throughput screen against BasE, an AAAE from A. baumannii involved in production of the siderophore acinet",46,"ICCB-Longwood Screening Facility, Harvard Medical School",HMS800,20161019,"89,108,119,127,190,204,253,303,311,323,325,340,346,370,397,437,564,675,727,774,782,785,830,863,864,873,896,904,914,932,938,994,1002,1046,1066,1072,1134,1148,1150,1176,1188,1203,1204,1234,1236,1309,1321,1348,1359,1366,1377,1379,1380,1400,1420,1433,1449,1464,1493,1539,1560,1563,1570,1609,1645,1646,1649,1720,1727,1732,1754,1756,1775,1780,1781,1825,1830,1833,1853,1863,1880,1890,1892,1960,1967,1981,1983,1984,1985,1986,1989,1990,1995,2004,2005,2046,2049,2051,2063,2075,2081,2082,2083,2092,2116,2117,2120,2122,2123,","92117389,92117390,92117391,92117392,92117393,92117394,92117395,92117396,92117397,92117398,92117399,92117400,92117401,92117402,92117403,92117404,92117405,92117406,92117407,92117408,92117409,92117410,92117411,92117412,92117413,92117414,92117415,92117416,92117417,92117418,92117419,92117420,92117421,92117422,92117423,92117424,92117425,92117426,92117427,92117428,92117429,92117430,92117431,92117432,92117433,92117434,92117435,92117436,92117437,92117438,92117439,92117440,92117441,92117442,92117443,92117444,92117445",NULL,NULL,YP_001085402,Research and Development,"18690677,18928302",0,10.1021/bi801625b|10.1021/jm800567v,NULL,YP_001085402,NULL
485395,0,A screen for compounds that inhibit the activity of Staphylococcus aureus DNA helicase,"Antibacterial compounds with new mechanisms of action are needed for effective therapy against drug-resistant pathogens in the clinic and in biodefense. Inhibitors of the essential replicative helicase of Staphylococcus aureus were identified using an assay based on the helicase-mediated dissociation of two annealed oligonucleotides, one with a fluorescent label, the other bearing a quencher moiety.  Two complementary annealed 60-mer oligonucleotides with noncomplementary 30-mer ends were labeled, respectiv",46,"ICCB-Longwood Screening Facility, Harvard Medical School",HMS661,20161019,"108,127,303,311,325,340,346,366,397,437,464,675,782,873,896,994,1134,1148,1188,1203,1309,1366,1539,1570,1599,1775,1802,1814,1833,1890,1892,1995,2048,2123,2193,2240,2678,2788,2877,3157,3195,3306,3512,3712,3778,3789,3798,3845,3858,3913,4030,4133,4237,4411,4436,4653,4782,4990,5010,5070,5071,5155,5213,5280,5386,5418,5531,5595,5792,5827,5861,5899,5931,6009,6018,6035,6043,6096,6142,6168,6637,6661,6748,6808,6813,6821,6837,6844,6855,6862,6885,6890,6918,6942,6993,7026,7036,7038,7050,7053,7058,7060,7064,7075,7083,709","92117389,92117390,92117391,92117392,92117393,92117394,92117395,92117396,92117397,92117398,92117399,92117400,92117401,92117402,92117403,92117404,92117405,92117406,92117407,92117408,92117409,92117410,92117411,92117412,92117413,92117414,92117415,92117416,92117417,92117418,92117419,92117420,92117421,92117422,92117423,92117424,92117425,92117426,92117427,92117428,92117429,92117430,92117431,92117432,92117433,92117434,92117435,92117436,92117437,92117438,92117439,92117440,92117441,92117442,92117443,92117444,92117445",NULL,NULL,YP_001315171,Research and Development,19477652,0,10.1016/j.bmc.2009.05.014,NULL,YP_001315171,NULL
485345,2,qHTS Validation Assay to Find Inhibitors of Chronic Active B-Cell Receptor Signaling,"NIH Molecular Libraries Probe Production Network [MLPCN]_|_NIH Chemical Genomics Center [NCGC]_|__|_MLSCN Grant: 1 R03 DA031086-01A1_|_PI Name: Dr. R. Eric Davis_|__|_NCGC Assay Overview:_|__|_Diffuse large B-cell lymphoma (DLBCL) is the most common category of non-Hodgkin lymphoma, with ~20,000 new cases per year in the United States. DLBCL should be regarded as a collection of different neoplasms. Microarray gene expression analysis has defined two principal types of DLBCL, named for their similarity to n",2,National Center for Advancing Translational Sciences (NCATS),TMD8001,20101223,"119,138,178,199,237,248,249,275,286,289,305,401,444,462,471,535,546,547,564,650,681,774,785,787,838,896,903,951,1045,1046,1066,1102,1103,1123,1150,1207,1215,1216,1218,1219,1220,1221,1222,1225,1228,1229,1232,1233,1234,1237,1238,1240,1241,1242,1245,1256,1316,1317,1318,1329,1330,1337,1340,1342,1345,1346,1352,1354,1359,1365,1366,1367,1374,1390,1456,1474,1534,1551,1564,1574,1607,1609,1641,1645,1647,1649,1676,1678,1683,1694,1697,1701,1719,1720,1725,1727,1730,1734,1738,1742,1745,1774,1775,1779,1793,1794,1795,1809,","90340560,90340561,90340562,90340563,90340564,90340565,90340566,90340567,90340568,90340569,90340570,90340571,90340572,90340573,90340574,90340575,90340576,90340577,90340578,90340579,90340580,90340581,90340582,90340583,90340584,90340585,90340586,90340587,90340588,90340589,90340590,90340591,90340592,90340593,90340594,90340595,90340596,90340597,90340598,90340599,90340600,90340601,90340602,90340603,90340604,90340605,90340606,90340607,90340608,90340609,90340610,90340611,90340612,90340613,90340614,90340615,90340616",NULL,NULL,NULL,Governmental Organizations|NIH Initiatives,"11748286,16572121,17355202,20054396",0,10.1038/nature04687|10.1038/nature08638|10.1084/jem.194.12.1861|10.1089/adt.2006.048,NULL,NULL,NULL
485342,2,qHTS Validation Assay for Iinhibitors of HIV-1 Budding by Blocking the Interaction of PTAP/TSG101,"NIH Molecular Libraries Probe Production Network [MLPCN]_|_NIH Chemical Genomics Center [NCGC]_|__|_MLSCN Grant: 1 R03 MH087464-01A1_|_PI Name: Dr. Eric Freed, NCI_|__|_NCGC Assay Overview:_|__|_Stages of the HIV-1 replication cycle, specifically virus assembly and release, provide underexploited targets for the development of novel antiviral inhibitors.  The late stages of HIV-1 replication are mediated by the Gag precursor protein, Pr55Gag.  Expression of Pr55Gag is both necessary and sufficient for the p",2,National Center for Advancing Translational Sciences (NCATS),TSG001,20101105,"119,138,178,199,237,248,249,275,286,289,305,401,444,462,471,535,546,547,564,650,681,774,785,787,838,896,903,951,1045,1046,1066,1102,1103,1123,1150,1207,1215,1216,1218,1219,1220,1221,1222,1225,1228,1229,1232,1233,1234,1237,1238,1240,1241,1242,1245,1256,1316,1317,1318,1329,1330,1337,1340,1342,1345,1346,1352,1354,1359,1365,1366,1367,1374,1390,1456,1474,1534,1551,1564,1574,1607,1609,1641,1645,1647,1649,1676,1678,1683,1694,1697,1701,1719,1720,1725,1727,1730,1734,1738,1742,1745,1774,1775,1779,1793,1794,1795,1809,","90340560,90340561,90340562,90340563,90340564,90340565,90340566,90340567,90340568,90340569,90340570,90340571,90340572,90340573,90340574,90340575,90340576,90340577,90340578,90340579,90340580,90340581,90340582,90340583,90340584,90340585,90340586,90340587,90340588,90340589,90340590,90340591,90340592,90340593,90340594,90340595,90340596,90340597,90340598,90340599,90340600,90340601,90340602,90340603,90340604,90340605,90340606,90340607,90340608,90340609,90340610,90340611,90340612,90340613,90340614,90340615,90340616",7251,NULL,NP_006283,Governmental Organizations|NIH Initiatives,18083557,0,10.1016/j.bmcl.2007.12.003,NULL,Q99816,NULL
485318,2,Histone deacetylase 3 counterscreen for GASC1 inhibitors Measured in Biochemical System Using Plate Reader - 2043-03_Inhibitor_Dose_CherryPick,"Keywords:  histone deacetylase, HDAC3, epigenetics_|__|_Assay Overview: Histone deacetylase 3 (HDAC3) is a metal-dependent chromatin modifying enzyme, as is the primary target in this project, JMJD2C histone demethylase.  There are also reports of passive relationships between histone demethylation and histone deacetylation.  To eliminate non-specific compound such as metal chelators, active compound from the primary demethylase screen are counterscreened against HDAC3 in this assay.  HDAC3 is incubated wit",31,Broad Institute,2043-03_Inhibitor_Dose_CherryPick,20100929,"2052,5712,10365,66541,70262,85511,91440,91458,92123,135728,147514,193147,197690,256659,268524,271643,288131,360404,404524,444913,460747,518566,535921,548037,548573,562880,570654,576784,581119,601428,604485,607443,611070,612869,625794,644603,644638,644839,645508,645628,645747,645763,645968,646129,646148,646170,646330,646531,646859,646912,647339,647341,647739,647873,647977,648090,648292,648314,648319,648482,648575,648694,648794,648879,649212,649299,649861,649926,649950,650034,650046,650162,650194,650253,65057","842345,842370,842570,843224,843337,843451,843468,843824,843843,843866,844019,844020,844219,844532,844585,845001,845396,845524,845622,845728,845924,845946,845951,846110,846193,846308,846403,846604,846730,846819,846906,847132,847456,847521,847632,847753,847778,847839,848143,848534,848662,848893,848914,849079,849117,849871,850026,850066,850083,850153,850256,850699,850701,850773,850986,851213,851220,851247,851255,851357,851400,851718,851796,851914,852326,852585,852991,853122,853675,856727,856901,857016,857088,8",8841,Biochemical,NP_003874,NIH Initiatives,"16732293,19234612",0,10.1038/nature04837|10.1371/journal.pone.0004556,3.5.1.98,O15379,NULL
485295,2,qHTS Validation Assay for the Inhibitors of DNA Replication in Gram-Positive Bacteria,"B Subtilis DNA polymerase III holoenzyme complex was assayed for DNA production by fluorescent detection of the double-stranded DNA product with PicoGreen dye. The holoenzyme complex was reconstituted from the following purified protein components: DNA Polymerase III, beta subunit processivity factor, SSB single-stranded DNA binding protein, and Primase. Single-stranded, circular M13Gori was used as a substrate with dNTPs and NTPs also supplied to the substrate reagent. Compounds from the NCGC collection we",2,National Center for Advancing Translational Sciences (NCATS),POL3001,20110419,"119,138,178,199,237,248,249,275,286,289,305,401,444,462,471,535,546,547,564,650,681,774,785,787,838,896,903,951,1045,1046,1066,1102,1103,1123,1150,1207,1215,1216,1218,1219,1220,1221,1222,1225,1228,1229,1232,1233,1234,1237,1238,1240,1241,1242,1245,1256,1316,1317,1318,1329,1330,1337,1340,1342,1345,1346,1352,1354,1359,1365,1366,1367,1374,1390,1456,1474,1534,1551,1564,1574,1607,1609,1641,1645,1647,1649,1676,1678,1683,1694,1697,1701,1719,1720,1725,1727,1730,1734,1738,1742,1745,1774,1775,1779,1793,1794,1795,1809,","90340560,90340561,90340562,90340563,90340564,90340565,90340566,90340567,90340568,90340569,90340570,90340571,90340572,90340573,90340574,90340575,90340576,90340577,90340578,90340579,90340580,90340581,90340582,90340583,90340584,90340585,90340586,90340587,90340588,90340589,90340590,90340591,90340592,90340593,90340594,90340595,90340596,90340597,90340598,90340599,90340600,90340601,90340602,90340603,90340604,90340605,90340606,90340607,90340608,90340609,90340610,90340611,90340612,90340613,90340614,90340615,90340616",NULL,NULL,AAP13898,Governmental Organizations|NIH Initiatives,"11439188,16864780,8891218",0,10.1016/s0092-8674(01)00400-7|10.1073/pnas.0604348103|10.2144/96214st04,NULL,AAP13898,NULL
485366,2,qHTS validation assay of beta-arrestin-biased ligands of beta2-adrenergic receptor,"NIH Molecular Libraries Probe Production Network [MLPCN]_|_NIH Chemical Genomics Center [NCGC]_|_MLSCN Grant: Fast-track/HHSN271700800025C_|_PI: Bryan Roth and Bob Lefkowitz_|__|_The concept of biased agonism [1] is an emerging concept of molecular pharmacology which proposes that seven transmembrane receptors (7TMRs) or G protein-coupled receptors (GPCRs), exist in multiple signaling conformations and complexes and that ligands (either agonists or antagonists) can induce signaling biased responses for dist",2,National Center for Advancing Translational Sciences (NCATS),TANGO001,20101104,"119,138,178,199,237,248,249,275,286,289,305,401,444,462,471,535,546,547,564,650,681,774,785,787,838,896,903,951,1045,1046,1066,1102,1103,1123,1150,1207,1215,1216,1218,1219,1220,1221,1222,1225,1228,1229,1232,1233,1234,1237,1238,1240,1241,1242,1245,1256,1316,1317,1318,1329,1330,1337,1340,1342,1345,1346,1352,1354,1359,1365,1366,1367,1374,1390,1456,1474,1534,1551,1564,1574,1607,1609,1641,1645,1647,1649,1676,1678,1683,1694,1697,1701,1719,1720,1725,1727,1730,1734,1738,1742,1745,1774,1775,1779,1793,1794,1795,1809,","90340560,90340561,90340562,90340563,90340564,90340565,90340566,90340567,90340568,90340569,90340570,90340571,90340572,90340573,90340574,90340575,90340576,90340577,90340578,90340579,90340580,90340581,90340582,90340583,90340584,90340585,90340586,90340587,90340588,90340589,90340590,90340591,90340592,90340593,90340594,90340595,90340596,90340597,90340598,90340599,90340600,90340601,90340602,90340603,90340604,90340605,90340606,90340607,90340608,90340609,90340610,90340611,90340612,90340613,90340614,90340615,90340616",154,NULL,NP_000015,Governmental Organizations|NIH Initiatives,"17305471,17644195,17925438,18165312",0,10.1016/j.tips.2007.06.006|10.1073/pnas.0707936104|10.1073/pnas.0710487105|10.1146/annurev.physiol.69.022405.154749,NULL,P07550,NULL
485368,2,qHTS Validation Assay to Find Inhibitors of T. brucei phosphofructokinase,"NIH Molecular Libraries Probe Production Network [MLPCN]_|_NIH Chemical Genomics Center [NCGC]_|__|_Grant: 1 R03 MH092153-01_|_PI Name: Malcolm Walkinshaw, University of Edinburgh_|__|_NCGC Assay Overview:_|__|_Various species of the protozoan family Trypanosomatidae are responsible for a range of serious human diseases in tropical and subtropical areas of the world. The subspecies Trypanosoma brucei is one of three known to cause sleeping sickness in sub-Saharan Africa, significantly contributing to the mi",2,National Center for Advancing Translational Sciences (NCATS),PFK001,20101025,"119,138,178,199,237,248,249,275,286,289,305,401,444,462,471,535,546,547,564,650,681,774,785,787,838,896,903,951,1045,1046,1066,1102,1103,1123,1150,1207,1215,1216,1218,1219,1220,1221,1222,1225,1228,1229,1232,1233,1234,1237,1238,1240,1241,1242,1245,1256,1316,1317,1318,1329,1330,1337,1340,1342,1345,1346,1352,1354,1359,1365,1366,1367,1374,1390,1456,1474,1534,1551,1564,1574,1607,1609,1641,1645,1647,1649,1676,1678,1683,1694,1697,1701,1719,1720,1725,1727,1730,1734,1738,1742,1745,1774,1775,1779,1793,1794,1795,1809,","90340560,90340561,90340562,90340563,90340564,90340565,90340566,90340567,90340568,90340569,90340570,90340571,90340572,90340573,90340574,90340575,90340576,90340577,90340578,90340579,90340580,90340581,90340582,90340583,90340584,90340585,90340586,90340587,90340588,90340589,90340590,90340591,90340592,90340593,90340594,90340595,90340596,90340597,90340598,90340599,90340600,90340601,90340602,90340603,90340604,90340605,90340606,90340607,90340608,90340609,90340610,90340611,90340612,90340613,90340614,90340615,90340616",3656265,NULL,XP_843920,Governmental Organizations|NIH Initiatives,"11512153,15955817,19084537",0,10.1016/j.jmb.2008.11.047|10.1054/drup.2000.0177|10.1074/jbc.m502403200,NULL,XP_843920,NULL
